"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"192","OTU_2482",0.17395904635944,0,0.17395904635944,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"193","OTU_24867",0.18681308439613,0.0748641375097292,0.111948946886401,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. in: Bacteria"
"194","OTU_249",0.285785378186966,0,0.285785378186966,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Prochlorotrichaceae","Nodosilinea","Nodosilinea nodulosa"
"195","OTU_25",0.536234212655799,0.290929376098144,0.245304836557655,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"196","OTU_253",0.173196139674837,0,0.173196139674837,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. T4"
"197","OTU_2536",0.321977002913813,0,0.321977002913813,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia cepacia complex"
"198","OTU_2542",0.28286301594286,0.153836276132736,0.129026739810124,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. STM 3080"
"199","OTU_2557",0,0.185648484646944,-0.185648484646944,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. enrichment culture clone CACua-88"
"200","OTU_2574",0.316862619268068,0.198835763767644,0.118026855500424,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Aquabacter","Aquabacter cavernae"
"201","OTU_2598",0.238548909055061,0,0.238548909055061,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"202","OTU_2633",0.195306776955592,0,0.195306776955592,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"203","OTU_2638",0.28947339989577,0,0.28947339989577,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa group"
"204","OTU_265",0.204715684509235,0,0.204715684509235,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium metallidurans"
"205","OTU_266",0.212980712085531,0,0.212980712085531,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. RAU2d"
"206","OTU_2660",0.317149005055717,0,0.317149005055717,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","Nostoc sp. Lobaria pulmonaria 5183 cyanobiont"
"207","OTU_27",0.533863379116321,0.300225399038817,0.233637980077504,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Tolypothrichaceae","Tolypothrix","Tolypothrix sp. ACSSI 331"
"208","OTU_278",0.260663887186662,0,0.260663887186662,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium","unknown Mesorhizobium"
"209","OTU_28",0.226518992614296,0,0.226518992614296,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
"210","OTU_283",0.274171433809119,0,0.274171433809119,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp."
