"","otu_id","treatment","2.5%","50%","97.5%","p_val"
"128","OTU_1313","Control",0.122496245626312,0.185954668615507,0.255606643509852,0
"129","OTU_1313","Warming",0.349550261026241,0.472169910127652,0.57406664950723,0
"130","OTU_1324","Control",-0.105688117226669,0.0698783332060364,0.257684731257867,0.247549019607843
"131","OTU_1324","Warming",0.172058113527335,0.272110725712898,0.426635143393195,0
"132","OTU_1325","Control",-0.067538734331183,0.0136765819763595,0.113867885647311,0.373762376237624
"133","OTU_1325","Warming",0.155001088277642,0.246244283206723,0.357703349723932,0
"134","OTU_1334","Control",0.0328207445518731,0.106568380512157,0.219690608629301,0
"135","OTU_1334","Warming",0.163905240533759,0.272948100155219,0.38610175873574,0
"136","OTU_134","Control",0.0336915912006643,0.156795899350926,0.282880985244021,0.004
"137","OTU_134","Warming",0.223010227513425,0.376956180516201,0.529844657118345,0
"138","OTU_1352","Warming",0.0689470280868116,0.234268238532369,0.518116036605411,0
"139","OTU_1357","Control",-0.28618029238363,-0.0784714434150319,0.110363287808,0.818181818181818
"140","OTU_1357","Warming",0.0662495317104929,0.177523404862644,0.288069402097897,0
"141","OTU_136","Control",-0.238754292954779,-0.11004448538991,0.00437393539586549,0.969
"142","OTU_136","Warming",0.165655677592512,0.28401652995265,0.409179612943566,0
"143","OTU_1386","Warming",0.0559290093164259,0.221357437770998,0.320991916613854,0
"144","OTU_1395","Control",-0.00530604139563985,0.0778605857591218,0.197672371545303,0.0431654676258992
"145","OTU_1395","Warming",-0.0123524576258731,0.206228365391767,0.419003532841647,0.0615384615384615
"146","OTU_14","Control",-0.0138640295580354,0.0845244792911511,0.169074151278205,0.052
"147","OTU_14","Warming",0.146203423665298,0.239982982868286,0.326194587059568,0
"148","OTU_140","Control",-0.0626014258384836,0.129260181460811,0.334768257922594,0.115196078431373
"149","OTU_140","Warming",0.157760659933998,0.347707250107553,0.57054869575183,0
"150","OTU_142","Control",0.0568999698736392,0.267148285671595,0.600789128807314,0.00800000000000001
"151","OTU_143","Control",-0.0694766410459788,0.0146039686892208,0.0999246037274717,0.373
"152","OTU_143","Warming",0.0540371602215361,0.168561410263266,0.275452398336568,0.002
"153","OTU_1435","Control",-0.0700393283107468,0.0638715501278312,0.187657330380045,0.165
"154","OTU_1435","Warming",0.128954679732853,0.240783146086221,0.362679625523829,0
"155","OTU_14353","Control",-0.0908954590304466,0.0554493097000859,0.257057884369731,0.292079207920792
"156","OTU_14353","Warming",0.0716435632174062,0.231654756671248,0.404534190959733,0
"157","OTU_1439","Control",-0.0850292749002108,0.0499350180331622,0.179856928155991,0.215277777777778
"158","OTU_14404","Warming",-0.445950863119297,-0.102561991700491,0.230755591275787,0.654867256637168
"159","OTU_144332","Control",-0.229890296438062,0.0370847674903991,0.636777900343172,0.422018348623853
"160","OTU_144332","Warming",0.114718433631624,0.26381513267876,0.837544967957061,0
"161","OTU_145","Control",-0.101841726280641,0.011693879780901,0.107786506429762,0.407
"162","OTU_145","Warming",0.048539328687592,0.1319986585758,0.222590728064526,0
"163","OTU_1450","Warming",0.0578264233590124,0.184684889237659,0.307313820184762,0
"164","OTU_1457","Control",-0.263086705910481,-0.0564630292249438,0.121396359079478,0.734883720930233
"165","OTU_1457","Warming",0.042832697540419,0.133869634010441,0.221203392585798,0
"166","OTU_1459","Warming",-0.134411051054863,0.139397419810672,0.374436497333711,0.221105527638191
"167","OTU_1468","Control",-0.0182089830130099,0.137228620587109,0.351633270572668,0.0469483568075117
"168","OTU_147","Control",0.17308937068286,0.385045786467007,0.5585939049152,0
"169","OTU_1476","Control",-0.0370859760571786,0.043503150050021,0.124363113168999,0.14
"170","OTU_1476","Warming",0.139596157357749,0.230804111609278,0.312563309139005,0
"171","OTU_14767","Warming",-0.178639361222513,0.174259574906639,0.354832061435141,0.259259259259259
"172","OTU_148","Control",-0.143744793154115,0.0843873749640658,0.28779135416117,0.212212212212212
"173","OTU_148","Warming",0.155935882390191,0.459522741937499,0.685733520640766,0
"174","OTU_1499","Control",-0.123894844962492,0.0954154481843057,0.388819394799443,0.231481481481482
"175","OTU_1499","Warming",0.174980464345445,0.359227346090428,0.607648666174436,0
"176","OTU_15","Control",0.108866067112328,0.26872498375134,0.492764473719892,0
"177","OTU_15","Warming",0.22647571897339,0.435780657915541,0.616282137862807,0
"178","OTU_151","Control",0.0750488709767588,0.156127391467911,0.266360770309284,0
"179","OTU_151","Warming",0.12018506715854,0.26826265376049,0.4173096916601,0
"180","OTU_1512","Warming",0.0177288507885695,0.129020701871538,0.389524107392112,0.0058139534883721
"181","OTU_1528","Control",-0.048349327596212,0.0606651965993961,0.176173645634149,0.15
"182","OTU_1528","Warming",0.0668151075617698,0.19319329944228,0.331807869450127,0
"183","OTU_15374","Control",-0.10279392515797,0.041328427303258,0.191477633088845,0.337874659400545
"184","OTU_1547","Control",-0.0991923602556614,0.00696478725934871,0.125362287642954,0.484375
"185","OTU_1547","Warming",0.140248298491852,0.262332813662138,0.407986584302057,0
"186","OTU_155","Control",-0.0736490881378667,0.00659192716307906,0.0948112811473658,0.438
"187","OTU_155","Warming",0.133213615607886,0.220309747721003,0.318549196170638,0
"188","OTU_1558","Control",-0.0754372776804259,0.112138198839063,0.243433591748048,0.104265402843602
"189","OTU_1558","Warming",0.288343146531169,0.487443464881127,0.602669411800266,0
"190","OTU_156","Control",0.0758246920487636,0.229662070825132,0.509967766442299,0.00956937799043067
"191","OTU_156","Warming",0.00309634656531228,0.209633878733238,0.526141732398966,0.025
"192","OTU_15685","Warming",-0.107652044598749,0.140718621597177,0.338588558990547,0.14572864321608
"193","OTU_1576","Control",0.0290202585069237,0.146751281051388,0.257321904493786,0.00700000000000001
"194","OTU_1576","Warming",0.394606622931597,0.480959593792865,0.602815352330795,0
"195","OTU_158","Control",-0.148855829502447,0.070908396680115,0.235051173497501,0.286764705882353
"196","OTU_158","Warming",0.136633480084734,0.256456192918461,0.36082522492621,0
"197","OTU_1580","Control",-0.109702992443551,0.0326696842365688,0.150358252200197,0.30614406779661
"198","OTU_1580","Warming",0.0453645443555866,0.171395281571623,0.297314905216717,0.00529661016949157
"199","OTU_1586","Control",-0.12077667147336,0.0141192659649341,0.158945279286033,0.409547738693467
"200","OTU_1592","Control",-0.250967766599687,-0.0625616937986821,0.244011871278215,0.664739884393064
"201","OTU_1592","Warming",0.0368825196219413,0.227518665205851,0.459233751609258,0.0117647058823529
"202","OTU_1597","Control",-0.0766115606032897,0.00679618895719956,0.102947675703609,0.433
"203","OTU_1597","Warming",0.147989479151942,0.238270189616977,0.320911838260759,0
"204","OTU_15972","Control",-0.297706838952224,-0.0965114687919685,0.048703781338829,0.901515151515151
"205","OTU_15972","Warming",-0.0269436940225683,0.174893803054746,0.351038833631326,0.0472689075630253
"206","OTU_15991","Warming",0.0249318833739615,0.166231309271512,0.314420014691251,0
"207","OTU_16","Control",0.0603150169549004,0.231117082873927,0.433088871710046,0.00247524752475248
"208","OTU_160","Warming",0.143794371051746,0.271438028997732,0.440446940710776,0
"209","OTU_1605","Control",-0.119784127049506,0.0140945689627096,0.160538420986018,0.428
"210","OTU_1605","Warming",-0.0633944323829917,0.164590424304386,0.342846570847876,0.0883720930232558
