"","otu_id","sampleID","timepoint","isotope","ecosystem","treatment","rep","Kingdom","Phylum","Class","Order","Family","Genus","wvd","abund","light","label","gc_prop","mw_light","mw_label","mw_max","nat_abund","eaf"
"4055","OTU_424","W1_Moss_30",7,"15N","moss","Warming",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella",2.37722377894912e-05,2267.95706689649,1.71081512531281,1.73227623796515,0.775490687050197,308.075643380777,311.940260889829,311.982711896208,0.003663004,0.985511614257638
"4056","OTU_4244","W1_Moss_21",7,"15N","moss","Control",1,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",1.11347255357322e-05,3493.73068924364,1.72734445008284,1.72498641493468,0.973432448959798,308.173822494684,307.75312776576,312.180353796143,0.003663004,-0.104617608327705
"4057","OTU_4244","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",2.90578829176883e-05,249.403620777044,1.72734445008284,1.7291071063809,0.973432448959798,308.173822494684,308.488296269206,312.180353796143,0.003663004,0.0782027724864764
"4058","OTU_4244","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",1.23178582979258e-05,984.93904260608,1.72734445008284,1.72675933518115,0.973432448959798,308.173822494684,308.069432721212,312.180353796143,0.003663004,-0.0259594610620081
"4059","OTU_4244","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",4.12481795995194e-05,2474.57876422881,1.72734445008284,1.72612514498372,0.973432448959798,308.173822494684,307.95628747255,312.180353796143,0.003663004,-0.0540962179425484
"4060","OTU_4244","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",2.18569055191219e-05,1362.900301102,1.72734445008284,1.72902257820041,0.973432448959798,308.173822494684,308.473215679757,312.180353796143,0.003663004,0.0744525586335141
"4061","OTU_4250","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter",5.13393766612922e-05,276.247132908943,1.72515168696517,1.72575408684048,0.947173699676362,308.160798155039,308.268403780554,312.154134826239,0.003663004,0.0268475899993893
"4062","OTU_4250","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter",5.15956423920317e-06,911.290682660086,1.72515168696517,1.73132966212899,0.947173699676362,308.160798155039,309.264358944418,312.154134826239,0.003663004,0.27533827781725
"4063","OTU_427","W1_Moss_21",7,"15N","moss","Control",1,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",3.79333238527735e-05,26320.5956021224,1.7285273449307,1.73100561009609,0.987597836451305,308.18084852688,308.622700872337,312.194497724489,0.003663004,0.109684184360328
"4064","OTU_427","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",2.09748157572496e-05,5191.06175749706,1.7285273449307,1.72163236945928,0.987597836451305,308.18084852688,306.951536536192,312.194497724489,0.003663004,-0.305160953448205
"4065","OTU_427","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",3.09969960213068e-05,903.473660431563,1.7285273449307,1.73012743714141,0.987597836451305,308.18084852688,308.466130548401,312.194497724489,0.003663004,0.0708176072051307
"4066","OTU_427","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",5.68061947586289e-05,32930.0611684997,1.7285273449307,1.72889632298892,0.987597836451305,308.18084852688,308.246633989518,312.194497724489,0.003663004,0.0163303983477876
"4067","OTU_427","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",1.95699043638267e-05,4203.95232698829,1.7285273449307,1.72696677276384,0.987597836451305,308.18084852688,307.902612573031,312.194497724489,0.003663004,-0.0690685111698666
"4068","OTU_427","W1_Moss_26",7,"15N","moss","Control",6,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",4.03114103582851e-05,61.0438954054102,1.7285273449307,1.73039351144139,0.987597836451305,308.18084852688,308.513569198291,312.194497724489,0.003663004,0.0825936443220018
"4069","OTU_427","W1_Moss_29",7,"15N","moss","Warming",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",1.48412864818033e-05,8625.42845191969,1.7285273449307,1.73178734969625,0.987597836451305,308.18084852688,308.762077998196,312.194497724489,0.003663004,0.144282770348417
"4070","OTU_427","W1_Moss_30",7,"15N","moss","Warming",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",9.17404899860719e-06,19821.302696304,1.7285273449307,1.73298690213528,0.987597836451305,308.18084852688,308.975947387995,312.194497724489,0.003663004,0.197373106568129
"4071","OTU_427","W1_Moss_31",7,"15N","moss","Warming",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",9.92696325178954e-06,130295.91421746,1.7285273449307,1.72939108034607,0.987597836451305,308.18084852688,308.334844767663,312.194497724489,0.003663004,0.0382275939882229
"4072","OTU_427","W1_Moss_32",7,"15N","moss","Warming",6,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",2.30367840583034e-06,14487.813432068,1.7285273449307,1.7320505301898,0.987597836451305,308.18084852688,308.809000708476,312.194497724489,0.003663004,0.155930732066774
"4073","OTU_4281","W1_Moss_28",7,"15N","moss","Warming",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Consotaella",3.9345935901118e-05,63.5815046821402,1.72517577970381,1.73429809475474,0.947462214736727,308.160941258509,309.790422280459,312.154422904228,0.003663004,0.406540550446376
"4074","OTU_4281","W1_Moss_29",7,"15N","moss","Warming",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Consotaella",5.18997626256531e-06,470.226746358664,1.72517577970381,1.73064688312487,0.947462214736727,308.160941258509,309.138221602805,312.154422904228,0.003663004,0.243822470933121
"4075","OTU_4281","W1_Moss_30",7,"15N","moss","Warming",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Consotaella",5.4221046629048e-06,7717.89647123765,1.72517577970381,1.73305943801934,0.947462214736727,308.160941258509,309.56916620327,312.154422904228,0.003663004,0.351339191118843
"4076","OTU_4281","W1_Moss_31",7,"15N","moss","Warming",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Consotaella",5.78315542569616e-06,42154.5608268602,1.72517577970381,1.72864547641056,0.947462214736727,308.160941258509,308.780718683867,312.154422904228,0.003663004,0.154628775828087
"4077","OTU_43","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.78891482228023e-05,6881.92874739729,1.71080184417434,1.72529900295781,0.775331642927935,308.075564494892,310.686165126986,311.982553093022,0.003663004,0.665739846996517
"4078","OTU_43","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",2.04609117541894e-06,1765.39013557352,1.71080184417434,1.71925082276711,0.775331642927935,308.075564494892,309.597028747596,311.982553093022,0.003663004,0.387994765018323
"4079","OTU_43","W1_Moss_28",7,"15N","moss","Warming",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",2.22582148189822e-05,1061.56842150012,1.71080184417434,1.72462863720475,0.775331642927935,308.075564494892,310.565447868881,311.982553093022,0.003663004,0.634955249784315
"4080","OTU_43","W1_Moss_29",7,"15N","moss","Warming",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",5.81181226232933e-06,771.335501026909,1.71080184417434,1.71853367540116,0.775331642927935,308.075564494892,309.467887210637,311.982553093022,0.003663004,0.355061858315047
"4081","OTU_43","W1_Moss_30",7,"15N","moss","Warming",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",6.71971840854089e-05,3505.76141905506,1.71080184417434,1.726314057579,0.775331642927935,308.075564494892,310.868952821821,311.982553093022,0.003663004,0.712353277827917
"4082","OTU_43","W1_Moss_31",7,"15N","moss","Warming",5,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",2.86591859341254e-05,34097.420442801,1.71080184417434,1.71959669851173,0.775331642927935,308.075564494892,309.659312913137,311.982553093022,0.003663004,0.403878102487646
"4083","OTU_430","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",1.42133601792454e-05,474.697132989722,1.72665454292189,1.73106410713195,0.965170681410799,308.16972465798,308.956734540209,312.172104544346,0.003663004,0.195915201491389
"4084","OTU_430","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",2.36919950439143e-05,480.985692939998,1.72665454292189,1.72996896695526,0.965170681410799,308.16972465798,308.761276190942,312.172104544346,0.003663004,0.147258554676164
"4085","OTU_430","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",1.55152055330072e-05,2655.97735487593,1.72665454292189,1.72818738726838,0.965170681410799,308.16972465798,308.443303540412,312.172104544346,0.003663004,0.0681036707236333
"4086","OTU_430","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",4.43901398567079e-06,638.5688982239,1.72665454292189,1.72943611074623,0.965170681410799,308.16972465798,308.666173118998,312.172104544346,0.003663004,0.123583963132613
